,home_runs,player_name,total_pitches,pitch_percent,xwoba,xba,launch_speed,launch_angle,spin_rate,velocity,effective_speed,release_extension
407,2,Greg Allen,1127,0.2,1.115,0.644,100.5,26.0,2019.0,86.5,86.15,6.0
408,2,Lane Adams,107,1.9,1.8019999999999998,0.9079999999999999,104.8,27.5,1776.0,84.0,82.9,5.65
409,2,Francisco Pena,527,0.4,1.6909999999999998,0.9059999999999999,106.7,26.0,2429.0,87.9,86.75,5.45
410,2,Logan Forsythe,1700,0.1,1.0170000000000001,0.5720000000000001,99.5,27.5,2232.0,91.5,90.65,5.7
411,2,Luis Urias,205,1.0,1.0390000000000001,0.544,99.9,29.0,2323.0,93.5,92.55,5.85
412,2,Mallex Smith,2061,0.1,0.934,0.519,98.9,28.0,2344.0,88.4,87.3,5.65
413,2,Dwight Smith Jr.,305,0.7,0.81,0.528,103.9,24.5,2431.0,86.6,85.55,5.65
414,2,Mason Williams,473,0.4,1.4980000000000002,0.7879999999999999,102.2,26.0,2393.0,91.1,91.85,6.6
415,2,Delino DeShields,1574,0.1,0.7929999999999999,0.42,96.9,32.0,2246.0,90.7,90.75,6.25
416,2,Matt Holliday,273,0.7,0.9470000000000001,0.539,99.0,27.0,2610.0,83.0,83.55,6.25
417,2,Corey Seager,432,0.5,1.963,0.986,108.4,25.0,2196.0,87.0,86.65,6.05
418,2,Miles Mikolas,221,0.9,1.725,0.882,104.8,26.5,2069.0,89.0,89.05,6.05
419,2,Christin Stewart,313,0.6,0.665,0.32799999999999996,97.9,33.0,1801.0,84.5,84.4,6.2
420,2,Chris Herrmann,355,0.6,1.815,0.915,106.4,28.0,2513.0,95.7,95.15,6.15
421,2,Chris Gimenez,276,0.7,1.548,0.84,104.3,24.5,2088.0,95.3,94.05,5.65
422,2,Noel Cuevas,512,0.4,1.149,0.7040000000000001,103.4,21.0,2057.0,87.8,88.05,6.35
423,2,Chance Sisco,728,0.3,1.5919999999999999,0.825,103.3,28.0,2147.0,91.7,90.4,5.6
424,2,Pat Valaika,477,0.4,1.176,0.5820000000000001,101.9,33.5,2337.0,83.9,83.45,5.75
425,2,Pedro Florimon,345,0.6,1.1520000000000001,0.569,100.6,32.0,2330.0,82.7,81.9,5.75
426,2,Pedro Severino,827,0.2,1.893,0.9540000000000001,106.5,25.5,2343.0,91.3,91.55,6.3
427,2,Carlos Asuaje,841,0.2,1.004,0.593,100.0,27.0,1995.0,83.4,83.5,5.95
428,2,Reese McGuire,123,1.6,0.7290000000000001,0.455,98.5,26.0,2494.0,83.3,82.05,5.6
429,2,Roberto Perez,866,0.2,1.4909999999999999,0.885,108.4,20.5,2248.0,92.3,92.95,6.8
430,2,Rob Refsnyder,429,0.5,1.7590000000000001,0.882,106.2,31.0,2154.0,89.1,88.6,6.0
431,2,Roman Quinn,560,0.4,0.99,0.64,102.2,23.5,1997.0,86.9,86.6,6.0
432,2,Ryan Flaherty,692,0.3,1.7819999999999998,0.929,106.1,24.5,2009.0,90.7,90.5,6.1
433,2,Ryan LaMarre,744,0.3,1.206,0.718,103.1,23.0,2243.0,91.5,91.4,6.3
434,2,Brett Phillips,584,0.3,0.9279999999999999,0.45899999999999996,101.9,34.0,1948.0,81.0,81.0,6.0
436,2,Spencer Kieboom,529,0.4,0.9640000000000001,0.534,99.1,28.5,2011.0,92.6,92.75,6.45
437,2,Steven Duggar,640,0.3,0.909,0.516,100.8,29.0,2447.0,84.5,84.4,6.25
438,2,Steven Matz,221,0.9,0.992,0.545,98.8,26.5,2411.0,86.8,86.4,6.3
439,2,Bobby Wilson,606,0.3,1.08,0.607,100.0,25.5,2440.0,88.2,87.7,5.8
441,2,Victor Caratini,794,0.3,1.5719999999999998,0.861,103.8,24.5,2105.0,93.1,93.3,6.45
442,2,Willie Calhoun,376,0.5,1.704,0.9,104.9,25.0,2287.0,94.2,93.2,5.85
443,2,John Gant,132,1.5,1.229,0.7240000000000001,101.7,24.5,2294.0,91.1,91.1,6.3
444,1,Chad Wallach,208,0.5,1.5919999999999999,0.816,105.3,33.0,2649.0,90.1,89.0,5.5
445,1,Ryan Cordell,150,0.7,1.931,0.958,107.0,28.0,2367.0,97.5,96.9,5.8
